parameter,truth,posterior_mean,posterior_sd,prior_sd,shrinkage
k_va,0.009,0.008865627863896622,0.0004906758277312711,0.00543510479889793,0.9918497021061271
k_av,0.02,0.017245557801949814,0.008319677768269246,0.012078010664217624,0.5255153204628791
k_ao,0.6,0.6720143296172754,0.28404689900992997,0.36234031992652865,0.3854647802980794
k_vr,0.0013,0.001377535703880329,0.0004578825131409974,0.0007850706931741452,0.659834249295981
k_rv,0.0025,0.002771901700869205,0.0012362360330308195,0.0015097513330272032,0.32951054417553305
k_on,0.1,0.10900106120853366,0.04866887208825587,0.0788101386931623,0.6186371544854652
k_off,0.25,0.25260265271744736,0.12209531958258531,0.19702534673290567,0.6159800108652138
k_int,0.1,0.09793810273194675,0.030047620685761035,0.06039005332108813,0.752434940254432
k_syn,0.25,0.28580044385597064,0.09753838845045998,0.15097513330272028,0.5826116642964766
k_deg,0.05,0.05681944419620419,0.020177741358838538,0.03019502666054406,0.5534457089491838
f_rec,0.5,0.501056863211262,0.1497102382940152,0.15075567228888181,0.013821160197764248
CL_p,8.2919203776711,9.866355786760568,4.967392863533743,6.534873949969181,0.42219328041762527
