t_half_d,AUC_TO_d,peak_TO,days_TO_gt30,days_TO_gt50,format,dose_mg,dose_nmol
1.9356307618302444,0.5352070935784069,0.09664016341410431,0.0,0.0,naked,0.5,16.666666666666668
1.936325531109819,1.1157713688839792,0.19116895573136677,0.0,0.0,naked,1.0,33.333333333333336
1.9372072577047172,1.7346386650834695,0.2805395774143591,0.0,0.0,naked,1.5,50.0
1.9383676044695572,2.3807065229139868,0.36216981028383954,3.4222815210140096,0.0,naked,2.0,66.66666666666667
1.9417997948308563,3.7035832404760596,0.4973749823305322,6.304202801867912,0.0,naked,3.0,100.0
1.9542348504452032,6.218593535139181,0.6689796624491222,9.726484322881921,6.9046030687124755,naked,5.0,166.66666666666666
1.9791196318370554,8.881250232922312,0.7774800234198291,12.66844563042028,10.266844563042028,naked,7.5,250.0
2.0097258245667486,11.064592336727387,0.8348949219096715,14.889926617745163,12.728485657104736,naked,10.0,333.3333333333333
2.0739678013292853,14.460363590454632,0.8923550866065433,18.31220813875917,16.270847231487657,naked,15.0,500.0
2.13340265399693,17.04467600103562,0.9205252104705669,20.893929286190794,18.85256837891928,naked,20.0,666.6666666666666
2.612768093627692,0.166124047058675,0.025102553930909346,0.0,0.0,fab,0.5,6.25
2.6128435686823397,0.3366560584653655,0.05034890453270808,0.0,0.0,fab,1.0,12.5
2.6129182600321306,0.511636372158904,0.07569453594154961,0.0,0.0,fab,1.5,18.75
2.612995125446831,0.6910809696596508,0.10108915898989515,0.0,0.0,fab,2.0,25.0
2.6131608604467935,1.063287626261381,0.15179852212943645,0.0,0.0,fab,3.0,37.5
2.6135643418216015,1.8586840337137116,0.25112255351216883,0.0,0.0,fab,5.0,62.5
2.614292925909782,2.9339683958457448,0.36616396990185945,4.262841894596398,0.0,fab,7.5,93.75
2.615404093662458,4.067862345236988,0.4657595918827447,6.964643095396931,0.0,fab,10.0,125.0
2.6194091190336786,6.368354206273721,0.6141382971737017,10.38692461641094,6.544362908605737,fab,15.0,187.5
2.6265746714613085,8.55673037463041,0.708970044367511,12.968645763842561,9.90660440293529,fab,20.0,250.0
2.905061813328217,0.23254359177702758,0.032486916833339756,0.0,0.0,fc,0.5,4.3478260869565215
2.90510342208428,0.47376299806655375,0.06586934327386988,0.0,0.0,fc,1.0,8.695652173913043
2.9051448019613053,0.7239971683627654,0.10008520665235474,0.0,0.0,fc,1.5,13.043478260869565
2.90518771124896,0.9835434969389115,0.13504123609001611,0.0,0.0,fc,2.0,17.391304347826086
2.9052808870569335,1.53143652677353,0.2066609544611436,0.0,0.0,fc,3.0,26.08695652173913
2.9055252122591058,2.742598040838536,0.3510421372791823,3.482321547698466,0.0,fc,5.0,43.47826086956522
2.906056674074201,4.437893777673535,0.5135664545719977,7.264843228819213,1.8612408272181455,fc,7.5,65.21739130434783
2.9070968827978545,6.231321012571752,0.6374446795070307,9.726484322881921,6.484322881921281,fc,10.0,86.95652173913044
2.9120311275251995,9.706447802341623,0.7817769582809234,13.448965977318212,11.167444963308872,fc,15.0,130.43478260869566
2.9224234304921533,12.786076167814333,0.8513547820859537,16.571047364909937,14.589726484322881,fc,20.0,173.91304347826087
