format,k_off_h,KD_nM,peak_TO,trough_TO_mean,ss_mean_TO
naked,0.001,0.02,0.9109965967913433,0.0001050380508952903,0.14325512848669492
naked,0.0015013107289081728,0.030026214578163454,0.910615165232065,0.00010503582278978223,0.14319669970667948
naked,0.002253933904734791,0.04507867809469582,0.9100434373829638,0.00010503247870997595,0.1431092214099916
naked,0.003383855153428233,0.06767710306856466,0.9091871601851138,0.00010502745723528992,0.1429784241770052
naked,0.005080218046913023,0.10160436093826046,0.9079062458563483,0.00010501992005582506,0.14278325244037912
naked,0.007626985859023444,0.15253971718046885,0.9059935229955833,0.00010500860580205316,0.14249287876600633
naked,0.011450475699382817,0.22900951398765634,0.903145015530085,0.00010499162407538707,0.14206272356710692
naked,0.017190722018585746,0.3438144403717149,0.8989193080073372,0.00010496613560902296,0.1414294192667159
naked,0.025808615404180755,0.516172308083615,0.8926865566241499,0.00010492788992209825,0.14050517560246234
naked,0.03874675120456132,0.7749350240912264,0.8835688933319775,0.00010487051038900361,0.13917258944614955
naked,0.058170913293743604,1.163418265874872,0.8703875810077621,0.00010478446092806386,0.13728226740401261
naked,0.08733261623828437,1.7466523247656873,0.8516428986221645,0.00010465548225029969,0.13465676631783777
naked,0.13111339374215644,2.6222678748431285,0.825590952980652,0.0001044623241789063,0.1311047541898398
naked,0.19684194472866132,3.936838894573226,0.7904396767851701,0.00010417341337863905,0.12644739707264546
naked,0.2955209235202888,5.910418470405776,0.744702019367142,0.00010374213109572765,0.12055422274417846
naked,0.4436687330978616,8.87337466195723,0.6877764274437137,0.00010310032945329394,0.11337871502407602
naked,0.6660846290809161,13.321692581618322,0.6204525713246296,0.00010215045188554494,0.10498009536220677
naked,1.0,20.0,0.5450118110444094,0.00010076189698389515,0.09552095745888531
fab,0.001,0.02,0.3964866827743622,2.3809341471663e-05,0.03744112371008486
fab,0.0015013107289081728,0.030026214578163454,0.396142755636438,2.380889698731981e-05,0.037434774436871335
fab,0.002253933904734791,0.04507867809469582,0.39562832485443383,2.3808229659169103e-05,0.037425258915569644
fab,0.003383855153428233,0.06767710306856466,0.3948602654769095,2.380722807265887e-05,0.03741101087500901
fab,0.005080218046913023,0.10160436093826046,0.393716623272588,2.380572479807653e-05,0.0373897025982514
fab,0.007626985859023444,0.15253971718046885,0.3920204798646979,2.380346877734874e-05,0.03735789652989068
fab,0.011450475699382817,0.22900951398765634,0.3895193706494683,2.3800084015101553e-05,0.037310551820973176
fab,0.017190722018585746,0.3438144403717149,0.3858774177986535,2.3795008029930858e-05,0.03724035652612979
fab,0.025808615404180755,0.516172308083615,0.3806457984958498,2.3787399502848654e-05,0.03713687047542969
fab,0.03874675120456132,0.7749350240912264,0.37336706267404596,2.3776004993638143e-05,0.03698550051024784
fab,0.058170913293743604,1.163418265874872,0.36343760820374293,2.3758962637669527e-05,0.03676644182934893
fab,0.08733261623828437,1.7466523247656873,0.3502579246513948,2.373352401512335e-05,0.036453802019616746
fab,0.13111339374215644,2.6222678748431285,0.3333730972542238,2.3695676475211804e-05,0.03601531943256554
fab,0.19684194472866132,3.936838894573226,0.3125572625305695,2.363967717844046e-05,0.0354130508935969
fab,0.2955209235202888,5.910418470405776,0.2878865883045494,2.35576188568662e-05,0.034605328885261195
fab,0.4436687330978616,8.87337466195723,0.25986762731218266,2.3439629501007738e-05,0.03354980981870072
fab,0.6660846290809161,13.321692581618322,0.22936634173256468,2.3277199702708198e-05,0.0322070789907362
fab,1.0,20.0,0.1974839458144115,2.3082303627917036e-05,0.030544013662935493
fc,0.001,0.01,0.4535969386976081,2.931959165489648e-05,0.052492116435251215
fc,0.0015013107289081728,0.015013107289081727,0.4532517191770967,2.9319351776038747e-05,0.05248281702422715
fc,0.002253933904734791,0.02253933904734791,0.45273530433058157,2.93189902284274e-05,0.052468882997529935
fc,0.003383855153428233,0.03383855153428233,0.4519641714407422,2.931845224380703e-05,0.05244802542812293
fc,0.005080218046913023,0.05080218046913023,0.4508165945761625,2.9317645609407214e-05,0.05241685035766116
fc,0.007626985859023444,0.07626985859023443,0.44911611494351084,2.9316436315337476e-05,0.05237035298975077
fc,0.011450475699382817,0.11450475699382817,0.44661379870730217,2.9314634858570395e-05,0.05230121996168208
fc,0.017190722018585746,0.17190722018585744,0.4429589704167278,2.9311947928283876e-05,0.052198895482832346
fc,0.025808615404180755,0.2580861540418075,0.4376705053965053,2.9307960478165405e-05,0.052048413542743366
fc,0.03874675120456132,0.3874675120456132,0.430283280152129,2.9302118546207252e-05,0.05182907421391027
fc,0.058170913293743604,0.581709132937436,0.42004730314144473,2.92936058034398e-05,0.05151316220834814
fc,0.08733261623828437,0.8733261623828437,0.4062851586576033,2.9281472603327336e-05,0.051065149383893296
fc,0.13111339374215644,1.3111339374215643,0.3884268353995426,2.926476675029659e-05,0.05044180940068584
fc,0.19684194472866132,1.968419447286613,0.366194546876178,2.924334558322928e-05,0.04959377372168632
fc,0.2955209235202888,2.955209235202888,0.33955885611219877,2.922033297231211e-05,0.04846854537801369
fc,0.4436687330978616,4.436687330978615,0.30894609518303634,2.9210034414659998e-05,0.04701457255113827
fc,0.6660846290809161,6.660846290809161,0.2752153031889285,2.926497734786892e-05,0.04518555099310902
fc,1.0,10.0,0.23954228584512588,2.9587003682070633e-05,0.04294376726021131
